ra,dec,rv,j,ej,h,eh,k,ek,dist,sn,feh
64.930503,45.848201,-6.0444317,9.033,0.4838,7.876,0.1458,7.488,0.0382,6.3402993,4.470933,-0.37569209
89.065086,27.480222,23.902437,8.985,0.4507,7.892,0.1281,7.469,0.0314,6.2517505,31.06829,-0.34249148
87.568095,27.332742,-17.579092,9.57,0.6822,8.432,0.1865,8.049,0.0436,3.1165799,35.98511,-0.76199017
87.586355,27.720984,68.05566,9.184,0.6095,7.935,0.1677,7.492,0.0395,6.7967708,9.158982,-0.43981479
88.599106,29.476089,15.454734,9.508,0.298,8.473,0.0865,8.132,0.0217,8.6023206,77.06152,-0.27324438
89.114395,29.099073,36.25417,9.582,0.2945,8.56,0.086,8.262,0.0217,7.6561926,58.295994,-0.35963979
88.900475,29.466287,-7.2172546,10.813,0.3042,9.907,0.0889,9.602,0.0225,8.4470296,54.366165,-0.51111688
89.141987,28.449028,43.4495,9.38,0.2966,8.344,0.0858,8.015,0.0214,7.9013313,116.68684,-0.3214379
89.441859,28.688393,11.648782,11.077,0.309,10.125,0.0904,9.859,0.0229,9.6384894,16.795666,-0.428256
89.480823,29.494161,108.36653,9.94,0.2691,9.014,0.0798,8.718,0.0205,6.9963307,93.078094,-0.29913654
89.305922,29.31948,16.988426,8.342,0.2821,7.261,0.0831,6.891,0.0212,6.2386746,131.41167,-0.56046345
88.27211,27.513835,165.45001,11.63,0.3958,10.558,0.1104,10.231,0.0264,17.718048,11.068974,-0.91347558
91.591562,28.739565,33.822086,10.259,0.2917,9.314,0.09,8.994,0.0243,8.8216405,30.745708,-0.34479848
91.483657,28.471163,-6.5943904,10.935,0.201,10.008,0.0616,9.762,0.0165,12.126885,20.624178,-0.36440919
89.977802,27.067024,-156.27429,13.679,0.3143,13.126,0.0908,13.047,0.0226,9.218119e-09,4.350577,-0.36921827
91.151692,27.458747,67.41799,10.918,0.2004,9.931,0.06,9.671,0.0156,15.492656,22.088999,-0.49653984
90.794877,28.874568,52.695194,10.043,0.2347,9.166,0.0712,8.856,0.0188,7.382797,34.50781,-0.2778944
90.581802,28.963316,0.7176132,9.21,0.2598,8.193,0.0785,7.877,0.0206,7.5126087,71.41827,-0.45247103
86.785494,28.924729,71.88391,10.341,0.5612,9.197,0.1545,8.809,0.0364,8.3847776,17.562418,-0.75585261
87.239644,28.290488,-81.0301,9.991,0.5431,9.061,0.1496,8.753,0.0353,1.1383484,23.168802,-0.34556968
86.522524,28.838713,296.1926,9.296,0.6441,8.026,0.176,7.561,0.0411,7.2166011,13.522987,999
88.776485,30.951016,22.501833,7.916,0.2834,6.872,0.0846,6.414,0.0219,5.6260801,60.33027,-0.52993714
88.944181,31.267475,17.346348,9.462,0.2524,8.459,0.076,8.175,0.0199,7.556836,29.968973,-0.22796973
88.542374,31.236822,27.483133,8.452,0.2262,7.405,0.0675,7.075,0.0175,6.437672,52.85947,-0.76199017
90.724542,30.645482,28.53282,8.753,0.408,7.607,0.127,7.21,0.0346,6.8197933,57.48838,-0.50720542
90.100308,31.197925,-12.225994,8.592,0.3876,7.408,0.1199,6.924,0.0324,8.1915027,45.092728,999
91.13616,29.004346,84.63278,10.911,0.2724,9.973,0.0834,9.693,0.0223,10.677677,11.62354,-0.48126435
91.367949,29.443373,125.55085,9.917,0.4652,8.844,0.1443,8.496,0.0392,6.8892894,9.016044,-0.60270828
86.842705,29.791384,60.74201,8.537,0.4167,7.436,0.1166,7.05,0.028,5.1887014,67.985855,-0.16541591
88.188387,29.946973,23.991293,9.632,0.3339,8.656,0.0967,8.345,0.0242,5.987322,72.69329,-0.45521119
89.320105,29.842221,-399.5499,11.89,0.252,11.089,0.0749,10.906,0.0193,3.9372161,12.134206,-0.90534007
88.789365,29.797423,-37.085564,10.09,0.2883,9.105,0.0845,8.784,0.0214,9.4528978,10.219926,-1.0934873
87.70553,30.722076,35.730865,10.073,0.323,9.113,0.0937,8.814,0.0235,6.8420693,24.155264,-0.428256
88.48788,30.548025,43.295197,8.7,0.3487,7.68,0.1027,7.321,0.0262,5.1209602,56.054733,-0.20834586
87.133249,30.385111,4.0281196,8.434,0.3984,7.413,0.1133,7.055,0.0278,3.7717659,85.70233,-0.30337027
88.551307,27.356631,-10.437402,9.481,0.3858,8.389,0.1081,8.084,0.026,6.7853319,98.66738,-0.42210919
87.266743,27.661161,36.824978,9.438,0.5729,8.315,0.1564,7.922,0.0365,4.9507226,35.235497,-0.32439265
87.452471,27.861154,3.6169007,9.498,0.5781,8.253,0.1589,7.875,0.0374,7.1772844,64.7056,-0.74487443
87.655444,29.467437,57.303864,8.433,0.3971,7.307,0.1127,6.898,0.0275,5.862046,147.68219,-1.0417288
88.089683,29.517812,17.013178,11.018,0.3169,9.962,0.0909,9.677,0.0225,14.652356,42.763046,-0.54101494
88.700641,28.297761,78.7204,9.265,0.3267,8.226,0.0932,7.92,0.0229,6.395019,147.2933,-0.38553509
88.663242,28.242224,43.001797,9.054,0.3303,7.982,0.0941,7.825,0.0231,3.5777273,147.36127,-0.37002364
88.69441,27.762482,72.19417,11.014,0.3737,9.965,0.1057,9.651,0.0257,12.816036,26.802464,-0.81974865
89.803547,27.272267,50.570362,10.389,0.4422,9.422,0.1276,9.096,0.0318,5.081444,76.14899,-0.2778944
90.519761,28.164549,94.74853,9.775,0.1985,8.947,0.0591,8.65,0.0153,5.8347716,76.05017,-0.08256784
89.650057,28.338334,52.457573,9.15,0.3028,8.086,0.0885,7.731,0.0224,8.0199934,76.88777,-0.15885738
89.713956,27.797997,74.243614,9.612,0.3217,8.611,0.0934,8.273,0.0234,7.508268,85.29094,-0.36122518
